Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Component/s,Due Date,Votes,Labels,Description,Environment,Watchers,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field ((backup) Browser/s),Custom field ((backup) Exists in the current implementation?),Custom field ((backup) External issue ID - old),Custom field ((backup) Integrator),Custom field ((backup) Issue Occurred On),Custom field ((backup) Issue Status Comment),Custom field ((backup) Platform),Custom field ((backup) Root of the problem),Custom field ((backup) Test Type),Custom field ((backup) Test case priority),Custom field ((backup) Type of Issue),Custom field ((backup) Work Type),"Custom field ((backup, del) Test tasks)","Custom field ((tmp, del) Build/s)","Custom field ((tmp, del?) TestCase Link)",Custom field (Account),Custom field (Actual Result),Custom field (Affected Test Cases),Custom field (Affects Build/s),Custom field (Asana link),Custom field (BT Jira ID),Custom field (BT Project),Custom field (Basecamp Link),Custom field (Billable Category),Custom field (Browser),Custom field (Browser / Environment),Custom field (Browser Version),Custom field (Build/s),Custom field (Business Unit),Custom field (CQ ID),Custom field (CS Project Coordinator),Custom field (Case Study necessity postpone date),Custom field (Client Device),Custom field (Client Device Version),Custom field (Cloud Version),Custom field (Core issue),Custom field (Created By),Custom field (Development),Custom field (End Date),Custom field (Epic Link),Custom field (Epic/Theme),Custom field (Error Type),Custom field (Expected Result),Custom field (Flagged),Custom field (Found by),Custom field (Functionality Changes?),Custom field (Handled By (SGW Tester)),Custom field (Hardware Version),Custom field (Impact),Custom field (Impacted Areas),Custom field (Importance),Custom field (Iteration),Custom field (Level),Custom field (New Original Estimate),Custom field (Next Step),Custom field (Number of candidates),Custom field (Occurrence),Custom field (Original story points),Custom field (Parent Link),Custom field (Partner Contact),Custom field (Payment Status),Custom field (Planned Efforts (FTE)),Custom field (Priority Level),Custom field (Proxy Required),Custom field (RFX Coordinator),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Regional Coordinator),Custom field (Related Cases),Custom field (Reported Version),Custom field (Request Info From),Custom field (Revised),Custom field (Router),Custom field (SF Case No),Custom field (SGW Jira ID),Custom field (Severity/Importance),Custom field (Share with),Custom field (Solution),Sprint,Custom field (Start Date),Custom field (Supervisor),Custom field (TVS ID),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Team Role),Custom field (Test Type),Custom field (TestLink case),Custom field (Time Category),Custom field (To Attention Of),Custom field (Type of engagement),Custom field (URL),Custom field (Users),Custom field (Version To Fix),Custom field (WSJF),Custom field (Wiki Link),Custom field (Wires Link),Custom field (ZendeskID),Custom field (Обеспечение оборудованием),Comment,Comment
Gallery: No dedicated close button is available to close the full-size view of an image ,QATC-921242,3821978,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,m13.hasan,m13.hasan,04/May/25 10:17 PM,04/May/25 10:17 PM,14/Jun/25 2:46 PM,,1.0,,GregOlsen.PhotoStudio,,0,,"*Steps:*
 # Open the application: [https://photostudio.demohoster.com/]
 # Navigate to the session module and enter any of the galleries
 # Click on an image and expand it into full-size view
 # Observe whether there is a close button to exit the expanded view

*Actual result:* No dedicated close button is available to close the full-size view of an image - see here [^Video 2025-05-05 01.13.43.mp4]

*Expected result:*  There should be a dedicated close button to allow users to exit full-screen mode intuitively 

 ","*OS:* Windows 11 Home 64-bit

*Browser:* Google Chrome Version 135.0.7049.85",,,,,,,,,,Leads and Reporter only,"04/May/25 10:16 PM;m13.hasan;Video 2025-05-05 01.13.43.mp4;https://jira.a1qa.com/secure/attachment/2640186/Video+2025-05-05+01.13.43.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,,,"0|if1ths:",9223372036854775807,,,,,,,,,3-Average,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
Contact page: The search bar appears with altered shape after navigating this page ,QATC-921234,3821970,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,m13.hasan,m13.hasan,04/May/25 9:44 PM,04/May/25 9:44 PM,14/Jun/25 2:46 PM,,1.0,,GregOlsen.PhotoStudio,,0,,"*Steps:*
 # Open the application: [https://photostudio.demohoster.com/]
 # Observe the search bar styling on the Home page.

 # Navigate to Connect > Contact page.

 # Notice the UI change in the search bar in the top-right corner - see here [^image-2025-05-05-00-42-10-419.png]

*Actual result:* The search bar appears with an altered shape after navigating the contact page - see here [^Video 2025-05-05 00.43.08.mp4]

*Expected result:* The search bar UI should remain visually consistent across all pages, including the Contact page","*OS:* Windows 11 Home 64-bit

*Browser:* Google Chrome Version 135.0.7049.85",,,,,,,,,,Leads and Reporter only,"04/May/25 9:42 PM;m13.hasan;image-2025-05-05-00-42-10-419.png;https://jira.a1qa.com/secure/attachment/2640175/image-2025-05-05-00-42-10-419.png","04/May/25 9:44 PM;m13.hasan;Video 2025-05-05 00.43.08.mp4;https://jira.a1qa.com/secure/attachment/2640174/Video+2025-05-05+00.43.08.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,GUI,,,,,,,,,,,,,,,,,,,,,,,,"0|if1tg0:",9223372036854775807,,,,,,,,,3-Average,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
"Contact Form: Custom required messages are not shown for obligatory fields when left blank; instead, ""Please fill in this field."" is displayed",QATC-921225,3821961,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,m13.hasan,m13.hasan,04/May/25 9:08 PM,04/May/25 9:08 PM,14/Jun/25 2:46 PM,,1.0,,GregOlsen.PhotoStudio,,0,,"*Steps:*
 # Open the application: [https://photostudio.demohoster.com/]
 # Navigate to Connect → Contact Form
 # Leave the following fields empty and try to submit the form

*Actual result:* Contact Form: Custom required messages are not shown for obligatory fields when left blank; instead, ""Please fill in this field."" is displayed - see here [^Video 2025-05-05 00.04.38.mp4]

*Expected result:* As per the documentation, the following custom error messages should be displayed:
 * *Firstname:* ""Firstname is required.""

 * *Lastname:* ""Lastname is required.""

 * *Email:* ""Valid email is required.""

 * *Subject:* ""Subject is required.""

 * *Message:* ""Please leave me a message.""

See here - [^Screenshot 2025-05-04 234524.png]","*OS:* Windows 11 Home 64-bit

*Browser:* Google Chrome Version 135.0.7049.85",,,,,,,,,,Leads and Reporter only,"04/May/25 9:01 PM;m13.hasan;Screenshot 2025-05-04 234524.png;https://jira.a1qa.com/secure/attachment/2640163/Screenshot+2025-05-04+234524.png","04/May/25 9:07 PM;m13.hasan;Video 2025-05-05 00.04.38.mp4;https://jira.a1qa.com/secure/attachment/2640162/Video+2025-05-05+00.04.38.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,,,"0|if1te0:",9223372036854775807,,,,,,,,,3-Average,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
"Contact Form: Firstname, Lastname, Subject, and Message fields allow special characters, though documentation specifies alpha-only input",QATC-921222,3821958,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,m13.hasan,m13.hasan,04/May/25 8:40 PM,04/May/25 8:40 PM,14/Jun/25 2:46 PM,,1.0,,GregOlsen.PhotoStudio,,0,,"*Steps:*
 # Open the application: [https://photostudio.demohoster.com/]
 # Navigate to Connect → Contact Form

 # In the form, enter special characters (e.g., {{{}@{}}}, {{{}#{}}}, {{{}${}}}, etc.) in Firstname, Lastname, Subject, and Message fields:

 # Pay attention to the input fields

*Actual result:* Firstname, Lastname, Subject, and Message fields allow special characters, though documentation specifies alpha-only input - see here [^Video 2025-05-04 23.05.55.mp4]

*Expected result:* These fields should only accept alphabetical characters (alpha type) and reject special characters as per the documentation - see here [^Screenshot 2025-05-04 230157.png]","*OS:* Windows 11 Home 64-bit

*Browser:* Google Chrome Version 135.0.7049.85

 ",,,,,,,,,,Leads and Reporter only,"04/May/25 8:38 PM;m13.hasan;Screenshot 2025-05-04 230157.png;https://jira.a1qa.com/secure/attachment/2640156/Screenshot+2025-05-04+230157.png","04/May/25 8:39 PM;m13.hasan;Video 2025-05-04 23.05.55.mp4;https://jira.a1qa.com/secure/attachment/2640155/Video+2025-05-04+23.05.55.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,,,"0|if1tdc:",9223372036854775807,,,,,,,,,4-Minor,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
Contact Form: “Last Name” field accepts only 8 characters instead of 48 as required,QATC-921158,3821887,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,m13.hasan,m13.hasan,04/May/25 11:34 AM,04/May/25 11:34 AM,14/Jun/25 2:46 PM,,1.0,,GregOlsen.PhotoStudio,,0,,"*Steps:*
 # Open the application: [https://photostudio.demohoster.com/]
 # Navigate to Connect → Contact Form

 # Locate the Last Name field

 # Try entering more than 8 characters 

*Actual result:* “Last Name” field accepts only 8 characters instead of 48 as required - see here [^Video 2025-05-04 14.31.45.mp4]

*Expected result:* The Message field should allow up to 48 characters as defined in the documentation - see here [^Screenshot 2025-05-04 142704.png]","*OS:* Windows 11 Home 64-bit

*Browser:* Google Chrome Version 135.0.7049.85

 ",,,,,,,,,,Leads and Reporter only,"04/May/25 11:33 AM;m13.hasan;Screenshot 2025-05-04 142704.png;https://jira.a1qa.com/secure/attachment/2640064/Screenshot+2025-05-04+142704.png","04/May/25 11:33 AM;m13.hasan;Video 2025-05-04 14.31.45.mp4;https://jira.a1qa.com/secure/attachment/2640063/Video+2025-05-04+14.31.45.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,,,"0|if1sxk:",9223372036854775807,,,,,,,,,3-Average,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
Contact Form: “Message” field accepts only 300 characters instead of 2048 as required,QATC-921153,3821882,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,m13.hasan,m13.hasan,04/May/25 10:45 AM,04/May/25 10:45 AM,14/Jun/25 2:46 PM,,1.0,,GregOlsen.PhotoStudio,,0,,"*Steps:*
 # Open the application: [https://photostudio.demohoster.com/]
 # Navigate to Connect → Contact Form

 # Locate the Message field

 # Try entering more than 300 characters

*Actual result:* “Message” field accepts only 300 characters instead of 2048 as required - see here [^Video 2025-05-04 13.42.50.mp4]

*Expected result:* The Message field should allow up to 2048 characters as defined in the documentation - see here [^Requirement_30.png]","*OS:* Windows 11 Home 64-bit

*Browser:* Google Chrome Version 135.0.7049.85",,,,,,,,,,Leads and Reporter only,"04/May/25 10:44 AM;m13.hasan;Requirement_30.png;https://jira.a1qa.com/secure/attachment/2640055/Requirement_30.png","04/May/25 10:44 AM;m13.hasan;Video 2025-05-04 13.42.50.mp4;https://jira.a1qa.com/secure/attachment/2640056/Video+2025-05-04+13.42.50.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,,,"0|if1swg:",9223372036854775807,,,,,,,,,3-Average,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
Contact Form: 'First Name' field allows empty submission without showing the required error message,QATC-921128,3821855,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,m13.hasan,m13.hasan,03/May/25 11:25 PM,03/May/25 11:25 PM,14/Jun/25 2:46 PM,,1.0,,GregOlsen.PhotoStudio,,0,,"*Steps:*
 # Open the application: [https://photostudio.demohoster.com/]
 # Navigate to Connect → Contact
 # Leave the First Name field empty

 # Attempt to submit the form
 # Observe the response 

*Actual result:* 'First Name' field allows empty submission without showing required error message despite being specified in the documentation - see here [^Video 2025-05-03 17.20.25.mp4]

*Expected result:* If the First Name field is left empty, an error message ""First name is required"" should be shown, preventing submission - see here [^Requirement_29.png]","*OS:* Windows 11 Home 64-bit

*Browser:* Google Chrome Version 135.0.7049.85",,,,,,,,,,Leads and Reporter only,"03/May/25 11:14 PM;m13.hasan;Requirement_29.png;https://jira.a1qa.com/secure/attachment/2640014/Requirement_29.png","03/May/25 11:14 PM;m13.hasan;Video 2025-05-03 17.20.25.mp4;https://jira.a1qa.com/secure/attachment/2640013/Video+2025-05-03+17.20.25.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,,,"0|if1sqg:",9223372036854775807,,,,,,,,,3-Average,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
Connect Tab: Clicking the Contact Menu causes the footer to disappear,QATC-921053,3821770,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,m13.hasan,m13.hasan,03/May/25 1:49 PM,03/May/25 1:49 PM,14/Jun/25 2:46 PM,,1.0,,GregOlsen.PhotoStudio,,0,,"*Steps:* 
 # Open the application: [https://photostudio.demohoster.com/]
 # Navigate to the Connect tab
 # Click on the Contact menu option from the dropdown
 # Observe that the footer is no longer visible or accessible - see here [^Video 2025-05-03 16.46.58.mp4]

*Actual result:* Clicking the Contact Menu causes the footer to disappear

*Expected result:* Clicking the Contact menu should not affect the visibility of other sections, including the footer","*OS:* Windows 11 Home 64-bit

*Browser:* Google Chrome Version 135.0.7049.85",,,,,,,,,,Leads and Reporter only,"03/May/25 1:47 PM;m13.hasan;Video 2025-05-03 16.46.58.mp4;https://jira.a1qa.com/secure/attachment/2639906/Video+2025-05-03+16.46.58.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,,,"0|if1s8g:",9223372036854775807,,,,,,,,,2-Major,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
 Philanthropy page: The space between two paragraphs appears larger than what is specified in the documentation,QATC-921051,3821768,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,m13.hasan,m13.hasan,03/May/25 1:34 PM,03/May/25 1:34 PM,14/Jun/25 2:46 PM,,1.0,,GregOlsen.PhotoStudio,,0,,"*Steps:*
 # Open the application: [https://photostudio.demohoster.com/]
 # Navigate to the Philanthropy page from Connect module
 # Scroll to the article 

 # Observe the spacing between two consecutive paragraphs - see here [^Screenshot 2025-05-03 160336.png]

*Actual result:* The space between two paragraphs appears larger than what is specified in the documentation

*Expected result:* Paragraphs should maintain a standard and consistent spacing as per the specification provided in the documentation - see here [^Requirement_28.png]","*OS:* Windows 11 Home 64-bit

*Browser:* Google Chrome Version 135.0.7049.85",,,,,,,,,,Leads and Reporter only,"03/May/25 1:33 PM;m13.hasan;Requirement_28.png;https://jira.a1qa.com/secure/attachment/2639903/Requirement_28.png","03/May/25 1:32 PM;m13.hasan;Screenshot 2025-05-03 160336.png;https://jira.a1qa.com/secure/attachment/2639904/Screenshot+2025-05-03+160336.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,GUI,,,,,,,,,,,,,,,,,,,,,,,,"0|if1s80:",9223372036854775807,,,,,,,,,4-Minor,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
"Philanthropy page: The word ""Family"" is written as ""Famely"" in the second column of the article",QATC-921046,3821760,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,m13.hasan,m13.hasan,03/May/25 12:58 PM,03/May/25 12:58 PM,14/Jun/25 2:46 PM,,1.0,,GregOlsen.PhotoStudio,,0,,"*Steps:*
 # Open the application: [https://photostudio.demohoster.com/]
 # Navigate to the Philanthropy page from Connect module
 # Pay attention to the second column of the article - see here [^Screenshot 2025-05-03 155331.png]

*Actual result:* The word ""Family"" is written as ""Famely"" in the second column of the article

*Expected result:* The word should be spelled correctly as ""Family"" to align with proper grammar and the documentation","*OS:* Windows 11 Home 64-bit

*Browser:* Google Chrome Version 135.0.7049.85",,,,,,,,,,Leads and Reporter only,"03/May/25 12:57 PM;m13.hasan;Screenshot 2025-05-03 155331.png;https://jira.a1qa.com/secure/attachment/2639896/Screenshot+2025-05-03+155331.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,GUI,,,,,,,,,,,,,,,,,,,,,,,,"0|if1s68:",9223372036854775807,,,,,,,,,4-Minor,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
 Philanthropy page: The quotes from two clients are missing from the section below the article,QATC-921043,3821757,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,m13.hasan,m13.hasan,03/May/25 12:32 PM,03/May/25 12:32 PM,14/Jun/25 2:46 PM,,1.0,,GregOlsen.PhotoStudio,,0,,"*Steps:*
 # Open the application: [https://photostudio.demohoster.com/]
 # Navigate to the Philanthropy page from the Connect module
 # Pay attention to the section below the article [^Screenshot 2025-05-03 152608.png]

{*}Actual result{*}: The quotes from two clients are missing from the section below the article

{*}Expected Result{*}: The page should include two client quotes in the section below the article, as specified in the documentation - see here [^Requirement_27.png]","*OS:* Windows 11 Home 64-bit

*Browser:* Google Chrome Version 135.0.7049.85",,,,,,,,,,Leads and Reporter only,"03/May/25 12:31 PM;m13.hasan;Requirement_27.png;https://jira.a1qa.com/secure/attachment/2639891/Requirement_27.png","03/May/25 12:31 PM;m13.hasan;Screenshot 2025-05-03 152608.png;https://jira.a1qa.com/secure/attachment/2639890/Screenshot+2025-05-03+152608.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,GUI,,,,,,,,,,,,,,,,,,,,,,,,"0|if1s5k:",9223372036854775807,,,,,,,,,3-Average,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
Philanthropy page: The quotes from two clients are missing from the section below the article,QATC-921042,3821756,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,m13.hasan,m13.hasan,03/May/25 12:30 PM,03/May/25 12:30 PM,14/Jun/25 2:46 PM,,1.0,,GregOlsen.PhotoStudio,,0,,"*Steps:*
 # Open the application: [https://photostudio.demohoster.com/]
 # Navigate to the Philanthropy page from the Connect module
 # Pay attention to the section below the article [^Screenshot 2025-05-03 152608.png]

{*}Actual result{*}: The quotes from two clients are missing from the section below the article

{*}Expected Result{*}: The page should include two client quotes in the section below the article, as specified in the documentation - see here [^Requirement_27.png]","*OS:* Windows 11 Home 64-bit

*Browser:* Google Chrome Version 135.0.7049.85",,,,,,,,,,Leads and Reporter only,"03/May/25 12:30 PM;m13.hasan;Requirement_27.png;https://jira.a1qa.com/secure/attachment/2639888/Requirement_27.png","03/May/25 12:30 PM;m13.hasan;Screenshot 2025-05-03 152608.png;https://jira.a1qa.com/secure/attachment/2639889/Screenshot+2025-05-03+152608.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,GUI,,,,,,,,,,,,,,,,,,,,,,,,"0|if1s5c:",9223372036854775807,,,,,,,,,3-Average,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
Philanthropy page: The quotes from two clients are missing from the section below the article,QATC-921041,3821755,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,m13.hasan,m13.hasan,03/May/25 12:29 PM,03/May/25 12:29 PM,14/Jun/25 2:46 PM,,1.0,,GregOlsen.PhotoStudio,,0,,"*Steps:*
 # Open the application: [https://photostudio.demohoster.com/]
 # Navigate to the Philanthropy page from the Connect module
 # Pay attention to the section below the article [^image-2025-05-03-15-27-16-410.png]

{*}Actual result{*}: The quotes from two clients are missing from the section below the article

{*}Expected Result{*}: The page should include two client quotes in the section below the article, as specified in the documentation - see here [^image-2025-05-03-15-27-16-446.png]","*OS:* Windows 11 Home 64-bit

*Browser:* Google Chrome Version 135.0.7049.85",,,,,,,,,,Leads and Reporter only,"03/May/25 12:27 PM;m13.hasan;image-2025-05-03-15-27-16-410.png;https://jira.a1qa.com/secure/attachment/2639887/image-2025-05-03-15-27-16-410.png","03/May/25 12:27 PM;m13.hasan;image-2025-05-03-15-27-16-446.png;https://jira.a1qa.com/secure/attachment/2639886/image-2025-05-03-15-27-16-446.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,GUI,,,,,,,,,,,,,,,,,,,,,,,,"0|if1s54:",9223372036854775807,,,,,,,,,3-Average,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
"Philanthropy Tab: The word ""Interest"" is written as ""Intirest"" in the second column of the article",QATC-921038,3821752,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,m13.hasan,m13.hasan,03/May/25 11:49 AM,03/May/25 11:49 AM,14/Jun/25 2:46 PM,,1.0,,GregOlsen.PhotoStudio,,0,,"*Steps:*
 # Open the application: [https://photostudio.demohoster.com/]
 # Navigate to the ** Philanthropy page from Connect module
 # Pay attention to the second column of the article - see here [^Screenshot 2025-05-03 143710.png]

*Actual result:* The word ""Interest"" is written as ""Intirest"" in the second column of the article

*Expected result:* The word should be spelled correctly as ""interest"" to align with proper grammar and the documentation

 ","*OS:* Windows 11 Home 64-bit

*Browser:* Google Chrome Version 135.0.7049.85",,,,,,,,,,Leads and Reporter only,"03/May/25 11:46 AM;m13.hasan;Screenshot 2025-05-03 143710.png;https://jira.a1qa.com/secure/attachment/2639883/Screenshot+2025-05-03+143710.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,GUI,,,,,,,,,,,,,,,,,,,,,,,,"0|if1s4g:",9223372036854775807,,,,,,,,,4-Minor,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
"Philanthropy page: Extra ""../"" appears before image word in two places in the second column, which is not specified in the documentation",QATC-921035,3821749,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,m13.hasan,m13.hasan,03/May/25 11:33 AM,03/May/25 11:33 AM,14/Jun/25 2:46 PM,,1.0,,GregOlsen.PhotoStudio,,0,,"*Steps:*
 # Open the application: [https://photostudio.demohoster.com/]
 # Navigate to Connect → Philanthropy
 # Pay attention to the second column - see here [^Screenshot 2025-05-03 140742.png]

*Actual result:* Extra ""../"" appears before image word in two places in the second column, which is not specified in the documentation 

*Expected result:* The word ""images"" should appear as normal text without any preceding {{""../"" - see here [^Requirement_26.png]}}","*OS:* Windows 11 Home 64-bit

*Browser:* Google Chrome Version 135.0.7049.85",,,,,,,,,,Leads and Reporter only,"03/May/25 11:20 AM;m13.hasan;Requirement_26.png;https://jira.a1qa.com/secure/attachment/2639879/Requirement_26.png","03/May/25 11:20 AM;m13.hasan;Screenshot 2025-05-03 140742.png;https://jira.a1qa.com/secure/attachment/2639880/Screenshot+2025-05-03+140742.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,GUI,,,,,,,,,,,,,,,,,,,,,,,,"0|if1s3s:",9223372036854775807,,,,,,,,,4-Minor,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
Clients section: Alex Ching photo redirects to Maclaren website link while clicking ,QATC-921006,3821719,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,m13.hasan,m13.hasan,03/May/25 9:50 AM,03/May/25 9:50 AM,14/Jun/25 2:46 PM,,1.0,,GregOlsen.PhotoStudio,,0,,"*Steps:*
 # Open the application: [https://photostudio.demohoster.com/]
 # Navigate to Connect → Clients
 # Click on the picture or the name of Alex Ching at the 26th position
 # Observe the content displayed on the page - see here [^Video 2025-05-03 12.44.23.mp4]

*Actual result:* Alex Ching photo redirects to Maclaren website link while clicking, which is [http://www.maclarenbaby.com/], but should not have any link as specified - see here [^Screenshot 2025-05-03 115431.png] & [^Screenshot 2025-05-03 115614.png]

*Expected result:* Clicking Alex Ching should redirect to any website, as it doesn’t have any profile link - see here [^Requirement_25.png]","*OS:* Windows 11 Home 64-bit

*Browser:* Google Chrome Version 135.0.7049.85",,,,,,,,,,Leads and Reporter only,"03/May/25 9:41 AM;m13.hasan;Requirement_25.png;https://jira.a1qa.com/secure/attachment/2639846/Requirement_25.png","03/May/25 9:49 AM;m13.hasan;Screenshot 2025-05-03 115431.png;https://jira.a1qa.com/secure/attachment/2639843/Screenshot+2025-05-03+115431.png","03/May/25 9:49 AM;m13.hasan;Screenshot 2025-05-03 115614.png;https://jira.a1qa.com/secure/attachment/2639844/Screenshot+2025-05-03+115614.png","03/May/25 9:46 AM;m13.hasan;Video 2025-05-03 12.44.23.mp4;https://jira.a1qa.com/secure/attachment/2639845/Video+2025-05-03+12.44.23.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,,,"0|if1rx4:",9223372036854775807,,,,,,,,,3-Average,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
